epoch,train_loss,val_metric,lr
0,0.6929419771218911,0.5420520772068652,0.0005
1,0.6581254041093028,0.6193658771320109,0.0005
2,0.6236705968522618,0.6804790675292733,0.0005
3,0.6035993342216198,0.684114847885366,0.0005
4,0.588166577846576,0.7002619900550714,0.0005
5,0.5792442044641217,0.7054483237983211,0.0005
6,0.5729765739705828,0.7142704378976634,0.0005
7,0.5687262097485045,0.7012244025022724,0.0005
8,0.5662910458878574,0.7158209912848206,0.0005
9,0.5617412717933329,0.7148051114794418,0.0005
10,0.5576995046220274,0.7248569748168743,0.0005
11,0.5559957585273645,0.7198845105063358,0.0005
12,0.5571342964967092,0.7214885312516709,0.0005
13,0.5523790618802747,0.7182270224028231,0.0005
14,0.5491536893396296,0.7257659199058974,0.0005
15,0.5475676170271686,0.7221836069079827,0.0005
16,0.5455073734633943,0.7266748649949206,0.0005
17,0.5436351960031395,0.7299363738437684,0.0005
18,0.5400524030893277,0.7307383842164359,0.0005
19,0.5390358268195747,0.7264609955622092,0.0005
20,0.536401552063787,0.7310057210073251,0.0005
21,0.5349123156478263,0.7325562743944821,0.0005
22,0.5336880488782867,0.7360851200342191,0.0005
23,0.528653069642874,0.7260867240549644,0.0005
24,0.5300892660251031,0.7367801956905309,0.0005
25,0.5261182519105765,0.7348019034379512,0.0005
26,0.5241828078388149,0.7417526600010693,0.0005
27,0.5213523147962033,0.738063412286799,0.0005
28,0.5193742904907618,0.7399347698230231,0.0005
29,0.517845376383545,0.742180398866492,0.0005
30,0.5163409459794689,0.7369940651232423,0.0005
31,0.5146285339807852,0.7438913543281827,0.0005
32,0.5123986643094283,0.7406298454793349,0.0005
33,0.5114349472726513,0.7459765812971181,0.0005
34,0.5083054395312937,0.7446933647008501,0.0005
35,0.5082308327030932,0.743784419611827,0.0005
36,0.5071058024198581,0.7464043201625408,0.0005
37,0.5055951429737939,0.7464043201625408,0.0005
38,0.5038337169039963,0.7468855263861413,0.0005
39,0.5011420570887052,0.7462439180880073,0.0005
40,0.500589204293031,0.7442121584772496,0.0005
41,0.4994075231572502,0.7446933647008501,0.0005
42,0.4974999748234056,0.7422873335828477,0.0005
43,0.4962735307522309,0.7381703470031545,0.0005
44,0.4963449749681685,0.7480083409078757,0.0005
45,0.49411142458263624,0.7468320590279635,0.0005
46,0.49417944963161764,0.7428754745228038,0.0005
47,0.4907530102974329,0.7485430144896541,0.0005
48,0.4902503177650973,0.7493984922204994,0.0005
49,0.4889054363609379,0.7535154788001924,0.0005
