epoch,train_loss,val_metric,lr
0,0.03392861351881759,0.999603017070266,0.0005
1,0.00748857270446793,0.999603017070266,0.0005
2,0.007859073243786662,0.999603017070266,0.0005
3,0.007900925336064018,0.999603017070266,0.0005
4,0.00755463830521724,0.999603017070266,0.0005
5,0.007855145617013592,0.999603017070266,0.0005
6,0.007402252483471586,0.999603017070266,0.0005
7,0.006225609006438932,0.999603017070266,0.00025
8,0.005620386295195819,0.999603017070266,0.00025
9,0.005218537063849795,0.999603017070266,0.00025
10,0.004753261083568668,0.999603017070266,0.00025
