epoch,train_loss,val_metric,lr
0,0.4193299627966351,0.7288745980707395,0.0001
1,0.3909260094043159,0.7302893890675242,0.0001
2,0.38786337425004797,0.7266881028938906,0.0001
3,0.38586491217583785,0.7201286173633441,0.0001
4,0.3865785148194052,0.7223151125401929,0.0001
5,0.38338361711168484,0.7220578778135048,0.0001
6,0.3831618063059854,0.7259163987138264,0.0001
7,0.3825705588599782,0.7207717041800643,0.0001
8,0.379093972299202,0.7218006430868167,5e-05
9,0.3781804565508915,0.7211575562700965,5e-05
