epoch,train_loss,val_metric,lr
0,0.42277746099709834,0.633827847318807,0.001
1,0.27230144898562514,0.6232228403647041,0.001
2,0.21667694204141585,0.6595773450780404,0.001
3,0.18431955995046956,0.6384059650749497,0.001
4,0.1684572083188113,0.6342914541801885,0.001
5,0.15565710849480424,0.6368799258229022,0.001
6,0.14946192063474922,0.6432738371194561,0.001
7,0.14483792539633644,0.6316063977746871,0.001
8,0.14476055749251943,0.6466736207695873,0.001
9,0.11594951287703396,0.6503631587080823,0.0005
10,0.10819512090984613,0.6594807603152527,0.0005
11,0.10332185259634627,0.6411296553855663,0.0005
12,0.09892309983684533,0.6389468397465616,0.0005
