epoch,train_loss,val_metric,lr
0,0.0985828249916303,0.11919496,0.0005
1,0.013897578848427416,0.09105539,0.0005
2,0.008725323121982426,0.07734535,0.0005
3,0.0076992526037068755,0.06431711,0.0005
4,0.00711897022238551,0.06990489,0.0005
5,0.006863874373526727,0.0942715,0.0005
6,0.006789280805020851,0.08434464,0.0005
7,0.006503675707630272,0.06445402,0.0005
8,0.006317380873182797,0.06415048,0.0005
9,0.006189344596478776,0.06550178,0.0005
10,0.006096834176587195,0.0690363,0.0005
11,0.0058334198465472345,0.071389824,0.0005
12,0.006222771870696482,0.055533305,0.0005
13,0.005947691314066001,0.075831264,0.0005
14,0.005663760894158699,0.05796719,0.0005
15,0.005790323603412112,0.050154082,0.0005
16,0.005515517765401744,0.063367166,0.0005
17,0.00576811569146935,0.081315674,0.0005
18,0.005863526594745086,0.057057686,0.0005
19,0.0053621562959888895,0.05957109,0.0005
20,0.005183153950900562,0.07040759,0.0005
21,0.005348416253009458,0.060457032,0.0005
22,0.005260621451763518,0.05697745,0.0005
23,0.0051287451204084815,0.079166904,0.0005
24,0.005161683400785181,0.052006926,0.0005
25,0.0043195159621188,0.045479823,0.00025
26,0.004187279356754331,0.055707578,0.00025
27,0.004284326504046171,0.045583922,0.00025
28,0.004263635222709816,0.057418436,0.00025
29,0.004382765262914895,0.0491554,0.00025
30,0.004134731671346212,0.05794101,0.00025
31,0.004146363848506469,0.047537606,0.00025
32,0.004154137521879624,0.053406607,0.00025
33,0.004139031013545666,0.05264489,0.00025
34,0.004473945713398921,0.052435987,0.00025
