epoch,train_loss,val_metric,lr
0,0.06832194976796689,0.12211737,0.0005
1,0.01432655490312876,0.08951091,0.0005
2,0.009311241650158418,0.07476644,0.0005
3,0.007866180501469068,0.06843981,0.0005
4,0.007523389425135246,0.082128964,0.0005
5,0.007234876273651665,0.073471054,0.0005
6,0.007039261972842663,0.067383215,0.0005
7,0.006815444049957374,0.07540212,0.0005
8,0.006865382253033598,0.07263924,0.0005
9,0.0065901091642291505,0.05874806,0.0005
10,0.0065712731606564325,0.066490546,0.0005
11,0.006461944988796157,0.08252719,0.0005
