ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,neck_tilt,p_mlp_drowsy,p_lstm_drowsy,neck_alarm,ema_prob,alarm_on,frame_idx,face_detected
0.3371044853103242,0.3371044853103242,0.3371044853103242,0.023638134916358515,-24.48833277518628,-7.743477998467542,-177.95667968190952,1.8881444809053167,0.14563322067260742,,False,0.14563322067260742,False,0,True
0.3723605060537639,0.3723605060537639,0.3723605060537639,0.003293348103150325,-24.58673134851176,-7.655648759135581,-177.7703149530867,0.7833538306139733,0.1296049952507019,,False,0.14242757558822633,False,2,True
,,,,,,,,0.1296049952507019,,False,0.14242757558822633,False,4,False
0.35845838849505496,0.35845838849505496,0.35845838849505496,0.021107619197636922,-25.655831142907417,-7.597585861090055,-176.91816508942352,2.285944080653548,0.14340990781784058,,False,0.1426240420341492,False,6,True
0.3917783366010221,0.3917783366010221,0.3917783366010221,0.006368131894062539,-24.65566457254073,-7.845311460924058,-175.30143767118986,4.675507307679653,0.12994897365570068,,False,0.1400890283584595,False,8,True
0.3887041879591805,0.3887041879591805,0.3887041879591805,0.0035035023996505556,-24.594607901372505,-7.504301526014031,-175.36836359694234,3.835647739445696,0.1282808780670166,,False,0.13772739830017092,False,10,True
0.37242831863603565,0.37242831863603565,0.37242831863603565,0.004819366848511827,-22.336543184768473,-7.294770450570811,-175.6143147508666,1.0166997847964905,0.13281571865081787,,False,0.13674506237030032,False,12,True
0.3648683752997369,0.3648683752997369,0.3648683752997369,0.005650777350513256,-22.28536823700397,-6.902211811544891,-175.60350835592766,2.181102257579091,0.13281792402267456,,False,0.13595963470077516,False,14,True
0.352609959898763,0.352609959898763,0.352609959898763,0.003973842641157225,-19.57841546109485,-6.264793344108223,-176.75949231141712,-12.93682988337017,0.14775609970092773,,False,0.13831892770080567,False,16,True
0.35794485492025285,0.35794485492025285,0.35794485492025285,0.00891803091639148,-22.586380131628886,-6.04928015922128,-177.2047337001179,-9.04904741571403,0.14495646953582764,,False,0.13964643606781008,False,18,True
0.3668955425093444,0.3668955425093444,0.3668955425093444,0.004833998846141269,-22.232689262674562,-5.21729616421032,-178.1507879821601,-8.501458623048599,0.1406468152999878,,False,0.13984651191424563,False,20,True
