frame,t_sec,neck_tilt,ear_avg,neck_delta_abs,neck_alarm_8,neck_alarm_15
394,13.418,,,0.0,0,0
396,13.486,,,0.0,0,0
398,13.554,,,0.0,0,0
400,13.622,,,0.0,0,0
402,13.691,,,0.0,0,0
404,13.759,,,0.0,0,0
406,13.827,,,0.0,0,0
408,13.895,,,0.0,0,0
410,13.963,,,0.0,0,0
412,14.031,,,0.0,0,0
414,14.099,,,0.0,0,0
416,14.167,,,0.0,0,0
418,14.236,,,0.0,0,0
420,14.304,,,0.0,0,0
422,14.372,,,0.0,0,0
424,14.44,,,0.0,0,0
426,14.508,,,0.0,0,0
428,14.576,,,0.0,0,0
430,14.644,,,0.0,0,0
432,14.712,,,0.0,0,0
434,14.78,,,0.0,0,0
436,14.849,,,0.0,0,0
438,14.917,,,0.0,0,0
440,14.985,,,0.0,0,0
442,15.053,,,0.0,0,0
444,15.121,,,0.0,0,0
446,15.189,,,0.0,0,0
448,15.257,,,0.0,0,0
450,15.325,,,0.0,0,0
452,15.393,,,0.0,0,0
454,15.462,,,0.0,0,0
456,15.53,,,0.0,0,0
458,15.598,,,0.0,0,0
460,15.666,,,0.0,0,0
462,15.734,,,0.0,0,0
464,15.802,,,0.0,0,0
466,15.87,,,0.0,0,0
468,15.938,,,0.0,0,0
470,16.006,,,0.0,0,0
472,16.075,,,0.0,0,0
474,16.143,,,0.0,0,0
476,16.211,,,0.0,0,0
478,16.279,,,0.0,0,0
480,16.347,,,0.0,0,0
482,16.415,,,0.0,0,0
484,16.483,,,0.0,0,0
486,16.551,,,0.0,0,0
488,16.619,,,0.0,0,0
490,16.688,,,0.0,0,0
492,16.756,,,0.0,0,0
494,16.824,,,0.0,0,0
496,16.892,,,0.0,0,0
498,16.96,,,0.0,0,0
500,17.028,,,0.0,0,0
502,17.096,,,0.0,0,0
504,17.164,,,0.0,0,0
506,17.232,,,0.0,0,0
508,17.301,,,0.0,0,0
510,17.369,,,0.0,0,0
512,17.437,,,0.0,0,0
514,17.505,,,0.0,0,0
516,17.573,,,0.0,0,0
518,17.641,,,0.0,0,0
520,17.709,,,0.0,0,0
522,17.777,,,0.0,0,0
524,17.845,,,0.0,0,0
526,17.914,,,0.0,0,0
528,17.982,,,0.0,0,0
530,18.05,,,0.0,0,0
532,18.118,,,0.0,0,0
534,18.186,,,0.0,0,0
536,18.254,,,0.0,0,0
538,18.322,,,0.0,0,0
540,18.39,,,0.0,0,0
542,18.458,,,0.0,0,0
544,18.527,,,0.0,0,0
546,18.595,,,0.0,0,0
548,18.663,,,0.0,0,0
550,18.731,,,0.0,0,0
552,18.799,,,0.0,0,0
